   Elapsed time	   ECG1	   ECG2
       0:00.648	 -0.055	 -0.075
       0:00.656	 -0.065	 -0.085
       0:00.664	 -0.075	 -0.095
       0:00.672	 -0.065	 -0.085
       0:00.680	 -0.075	 -0.075
       0:00.688	 -0.055	 -0.075
       0:00.695	 -0.045	 -0.075
       0:00.703	 -0.055	 -0.075
       0:00.711	 -0.055	 -0.055
       0:00.719	 -0.055	 -0.065
       0:00.727	 -0.055	 -0.065
       0:00.734	 -0.025	 -0.065
       0:00.742	 -0.035	 -0.055
       0:00.750	 -0.045	 -0.065
       0:00.758	 -0.035	 -0.065
       0:00.766	 -0.035	 -0.065
       0:00.773	 -0.025	 -0.065
       0:00.781	  0.005	 -0.065
       0:00.789	 -0.055	 -0.075
       0:00.797	 -0.055	 -0.075
       0:00.805	 -0.015	 -0.065
       0:00.813	 -0.005	 -0.065
       0:00.820	 -0.055	 -0.075
       0:00.828	 -0.045	 -0.075
       0:00.836	 -0.055	 -0.065
       0:00.844	 -0.025	 -0.065
       0:00.852	 -0.035	 -0.085
       0:00.859	 -0.045	 -0.085
       0:00.867	 -0.045	 -0.075
       0:00.875	 -0.015	 -0.065
       0:00.883	 -0.045	 -0.085
       0:00.891	 -0.035	 -0.085
       0:00.898	 -0.015	 -0.075
       0:00.906	 -0.005	 -0.065
       0:00.914	 -0.045	 -0.075
       0:00.922	 -0.035	 -0.075
       0:00.930	 -0.015	 -0.065
       0:00.938	 -0.015	 -0.065
       0:00.945	 -0.015	 -0.075
       0:00.953	 -0.025	 -0.065
       0:00.961	 -0.025	 -0.055
       0:00.969	  0.005	 -0.055
       0:00.977	  0.025	 -0.035
       0:00.984	  0.005	 -0.035
       0:00.992	  0.045	 -0.015
       0:01.000	  0.065	 -0.035
       0:01.008	  0.055	 -0.055
       0:01.016	  0.075	 -0.045
       0:01.023	  0.065	 -0.035
       0:01.031	  0.055	 -0.055
       0:01.039	  0.015	 -0.085
       0:01.047	  0.035	 -0.065
       0:01.055	  0.015	 -0.075
       0:01.063	 -0.045	 -0.095
       0:01.070	 -0.045	 -0.105
       0:01.078	 -0.065	 -0.105
       0:01.086	 -0.065	 -0.095
       0:01.094	 -0.045	 -0.095
       0:01.102	 -0.065	 -0.105
       0:01.109	 -0.035	 -0.095
       0:01.117	 -0.015	 -0.075
       0:01.125	 -0.045	 -0.085
       0:01.133	 -0.045	 -0.085
       0:01.141	 -0.005	 -0.075
       0:01.148	 -0.015	 -0.055
       0:01.156	  0.015	 -0.035
       0:01.164	  0.035	  0.035
       0:01.172	  0.215	  0.265
       0:01.180	  0.845	  0.385
       0:01.188	  1.395	  0.205
       0:01.195	  1.155	 -0.175
       0:01.203	  0.205	 -0.645
       0:01.211	 -0.525	 -0.635
       0:01.219	 -0.265	 -0.125
       0:01.227	 -0.065	  0.025
       0:01.234	 -0.055	 -0.015
       0:01.242	 -0.065	 -0.025
       0:01.250	 -0.095	 -0.025
       0:01.258	 -0.115	 -0.035
       0:01.266	 -0.075	 -0.025
       0:01.273	 -0.115	 -0.015
       0:01.281	 -0.095	 -0.025
       0:01.289	 -0.105	 -0.035
       0:01.297	 -0.095	 -0.035
       0:01.305	 -0.095	 -0.005
       0:01.313	 -0.105	 -0.015
       0:01.320	 -0.105	 -0.005
       0:01.328	 -0.095	 -0.005
       0:01.336	 -0.125	 -0.005
       0:01.344	 -0.105	  0.005
       0:01.352	 -0.105	  0.005
       0:01.359	 -0.125	  0.005
       0:01.367	 -0.085	  0.015
       0:01.375	 -0.105	  0.015
       0:01.383	 -0.105	  0.005
       0:01.391	 -0.105	  0.015
       0:01.398	 -0.125	  0.015
       0:01.406	 -0.115	  0.015
       0:01.414	 -0.155	  0.005
       0:01.422	 -0.135	 -0.015
       0:01.430	 -0.115	 -0.005
       0:01.438	 -0.135	 -0.025
       0:01.445	 -0.105	 -0.035
       0:01.453	 -0.125	 -0.035
       0:01.461	 -0.085	 -0.025
       0:01.469	 -0.075	 -0.035
       0:01.477	 -0.025	 -0.035
       0:01.484	 -0.045	 -0.045
       0:01.492	 -0.025	 -0.045
       0:01.500	 -0.025	 -0.055
       0:01.508	 -0.045	 -0.085
       0:01.516	 -0.055	 -0.075
       0:01.523	 -0.045	 -0.065
       0:01.531	 -0.065	 -0.065
       0:01.539	 -0.085	 -0.085
       0:01.547	 -0.065	 -0.075
       0:01.555	 -0.065	 -0.065
       0:01.563	 -0.055	 -0.065
       0:01.570	 -0.085	 -0.085
       0:01.578	 -0.065	 -0.085
       0:01.586	 -0.075	 -0.075
       0:01.594	 -0.065	 -0.075
       0:01.602	 -0.055	 -0.075
       0:01.609	 -0.055	 -0.065
       0:01.617	 -0.045	 -0.065
       0:01.625	 -0.065	 -0.055
       0:01.633	 -0.085	 -0.075
       0:01.641	 -0.055	 -0.065
       0:01.648	 -0.055	 -0.065
       0:01.656	 -0.045	 -0.065
       0:01.664	 -0.065	 -0.075
       0:01.672	 -0.045	 -0.075
       0:01.680	 -0.045	 -0.075
       0:01.688	 -0.035	 -0.075
       0:01.695	 -0.035	 -0.095
       0:01.703	 -0.045	 -0.085
       0:01.711	 -0.035	 -0.065
       0:01.719	 -0.045	 -0.075
       0:01.727	 -0.055	 -0.095
       0:01.734	 -0.065	 -0.095
       0:01.742	 -0.065	 -0.085
       0:01.750	 -0.055	 -0.095
       0:01.758	 -0.055	 -0.105
       0:01.766	 -0.075	 -0.095
       0:01.773	 -0.045	 -0.075
       0:01.781	 -0.055	 -0.085
       0:01.789	 -0.045	 -0.105
       0:01.797	 -0.055	 -0.105
       0:01.805	 -0.065	 -0.085
       0:01.813	 -0.055	 -0.095
       0:01.820	 -0.065	 -0.105
       0:01.828	 -0.015	 -0.095
       0:01.836	 -0.075	 -0.085
       0:01.844	 -0.075	 -0.085
       0:01.852	 -0.055	 -0.095
       0:01.859	 -0.035	 -0.085
       0:01.867	 -0.045	 -0.065
       0:01.875	  0.005	 -0.045
       0:01.883	 -0.005	 -0.055
       0:01.891	  0.005	 -0.055
       0:01.898	 -0.005	 -0.045
       0:01.906	  0.035	 -0.065
       0:01.914	  0.025	 -0.075
       0:01.922	  0.025	 -0.075
       0:01.930	  0.015	 -0.085
       0:01.938	 -0.005	 -0.085
       0:01.945	 -0.025	 -0.085
       0:01.953	 -0.035	 -0.105
       0:01.961	 -0.075	 -0.105
       0:01.969	 -0.075	 -0.115
       0:01.977	 -0.095	 -0.125
       0:01.984	 -0.075	 -0.115
       0:01.992	 -0.085	 -0.105
       0:02.000	 -0.085	 -0.115
       0:02.008	 -0.085	 -0.115
       0:02.016	 -0.075	 -0.105
       0:02.023	 -0.075	 -0.095
       0:02.031	 -0.065	 -0.095
       0:02.039	 -0.035	 -0.085
       0:02.047	 -0.055	 -0.085
       0:02.055	 -0.005	 -0.045
       0:02.063	  0.045	  0.115
       0:02.070	  0.325	  0.285
       0:02.078	  0.985	  0.355
       0:02.086	  1.295	 -0.065
       0:02.094	  0.515	 -0.465
       0:02.102	 -0.325	 -0.855
       0:02.109	 -0.455	 -0.435
       0:02.117	 -0.175	 -0.035
       0:02.125	 -0.085	 -0.005
       0:02.133	 -0.115	 -0.035
       0:02.141	 -0.105	 -0.045
       0:02.148	 -0.115	 -0.055
       0:02.156	 -0.135	 -0.045
       0:02.164	 -0.135	 -0.055
       0:02.172	 -0.135	 -0.055
       0:02.180	 -0.125	 -0.045
       0:02.188	 -0.115	 -0.045
       0:02.195	 -0.125	 -0.045
       0:02.203	 -0.115	 -0.045
       0:02.211	 -0.135	 -0.045
       0:02.219	 -0.145	 -0.045
       0:02.227	 -0.135	 -0.045
       0:02.234	 -0.135	 -0.045
       0:02.242	 -0.125	 -0.025
       0:02.250	 -0.145	 -0.025
       0:02.258	 -0.125	 -0.035
       0:02.266	 -0.115	 -0.025
       0:02.273	 -0.135	 -0.005
       0:02.281	 -0.145	 -0.025
       0:02.289	 -0.155	 -0.025
       0:02.297	 -0.165	 -0.025
       0:02.305	 -0.135	 -0.035
       0:02.313	 -0.155	 -0.045
       0:02.320	 -0.185	 -0.055
       0:02.328	 -0.175	 -0.055
       0:02.336	 -0.175	 -0.065
       0:02.344	 -0.155	 -0.065
       0:02.352	 -0.165	 -0.085
       0:02.359	 -0.125	 -0.085
       0:02.367	 -0.115	 -0.075
       0:02.375	 -0.065	 -0.065
       0:02.383	 -0.085	 -0.075
       0:02.391	 -0.085	 -0.095
       0:02.398	 -0.065	 -0.085
       0:02.406	 -0.075	 -0.085
       0:02.414	 -0.095	 -0.105
       0:02.422	 -0.105	 -0.115
       0:02.430	 -0.075	 -0.105
       0:02.438	 -0.115	 -0.105
       0:02.445	 -0.105	 -0.115
       0:02.453	 -0.095	 -0.115
       0:02.461	 -0.105	 -0.095
       0:02.469	 -0.115	 -0.095
       0:02.477	 -0.095	 -0.105
       0:02.484	 -0.095	 -0.105
       0:02.492	 -0.075	 -0.085
       0:02.500	 -0.095	 -0.095
       0:02.508	 -0.095	 -0.105
       0:02.516	 -0.055	 -0.095
       0:02.523	 -0.085	 -0.075
       0:02.531	 -0.085	 -0.095
       0:02.539	 -0.065	 -0.105
       0:02.547	 -0.055	 -0.105
       0:02.555	 -0.075	 -0.095
       0:02.563	 -0.075	 -0.095
       0:02.570	 -0.065	 -0.105
       0:02.578	 -0.065	 -0.105
       0:02.586	 -0.095	 -0.095
       0:02.594	 -0.075	 -0.105
       0:02.602	 -0.085	 -0.115
       0:02.609	 -0.045	 -0.105
       0:02.617	 -0.055	 -0.105
       0:02.625	 -0.065	 -0.105
       0:02.633	 -0.105	 -0.125
       0:02.641	 -0.075	 -0.115
       0:02.648	 -0.065	 -0.105
       0:02.656	 -0.075	 -0.105
       0:02.664	 -0.075	 -0.115
       0:02.672	 -0.065	 -0.115
       0:02.680	 -0.065	 -0.105
       0:02.688	 -0.065	 -0.115
       0:02.695	 -0.065	 -0.115
       0:02.703	 -0.085	 -0.115
       0:02.711	 -0.055	 -0.105
       0:02.719	 -0.045	 -0.095
       0:02.727	 -0.055	 -0.095
       0:02.734	 -0.035	 -0.075
       0:02.742	 -0.005	 -0.065
       0:02.750	 -0.015	 -0.075
       0:02.758	 -0.005	 -0.085
       0:02.766	  0.015	 -0.095
       0:02.773	  0.005	 -0.075
       0:02.781	  0.005	 -0.085
       0:02.789	  0.005	 -0.115
       0:02.797	 -0.025	 -0.125
       0:02.805	 -0.025	 -0.105
       0:02.813	 -0.045	 -0.125
       0:02.820	 -0.075	 -0.145
       0:02.828	 -0.095	 -0.155
       0:02.836	 -0.105	 -0.135
       0:02.844	 -0.105	 -0.135
       0:02.852	 -0.075	 -0.145
       0:02.859	 -0.095	 -0.145
       0:02.867	 -0.075	 -0.125
       0:02.875	 -0.105	 -0.135
       0:02.883	 -0.075	 -0.135
       0:02.891	 -0.055	 -0.125
       0:02.898	 -0.055	 -0.105
       0:02.906	 -0.065	 -0.105
       0:02.914	 -0.025	 -0.095
       0:02.922	  0.045	  0.055
       0:02.930	  0.305	  0.285
       0:02.938	  1.075	  0.405
       0:02.945	  1.415	  0.045
       0:02.953	  0.695	 -0.375
       0:02.961	 -0.305	 -0.845
       0:02.969	 -0.515	 -0.445
       0:02.977	 -0.225	 -0.095
       0:02.984	 -0.095	 -0.055
       0:02.992	 -0.075	 -0.075
       0:03.000	 -0.105	 -0.085
       0:03.008	 -0.135	 -0.095
       0:03.016	 -0.115	 -0.095
       0:03.023	 -0.125	 -0.085
       0:03.031	 -0.125	 -0.085
       0:03.039	 -0.135	 -0.095
       0:03.047	 -0.115	 -0.075
       0:03.055	 -0.115	 -0.075
       0:03.063	 -0.105	 -0.065
       0:03.070	 -0.125	 -0.065
       0:03.078	 -0.105	 -0.075
       0:03.086	 -0.135	 -0.065
       0:03.094	 -0.095	 -0.055
       0:03.102	 -0.115	 -0.065
       0:03.109	 -0.145	 -0.065
       0:03.117	 -0.125	 -0.045
       0:03.125	 -0.135	 -0.045
       0:03.133	 -0.105	 -0.055
       0:03.141	 -0.145	 -0.055
       0:03.148	 -0.135	 -0.045
       0:03.156	 -0.135	 -0.045
       0:03.164	 -0.145	 -0.065
       0:03.172	 -0.155	 -0.065
       0:03.180	 -0.145	 -0.055
       0:03.188	 -0.165	 -0.085
       0:03.195	 -0.165	 -0.105
       0:03.203	 -0.145	 -0.105
       0:03.211	 -0.145	 -0.095
       0:03.219	 -0.105	 -0.095
       0:03.227	 -0.075	 -0.095
       0:03.234	 -0.055	 -0.105
       0:03.242	 -0.035	 -0.105
       0:03.250	 -0.055	 -0.105
       0:03.258	 -0.055	 -0.125
       0:03.266	 -0.065	 -0.135
       0:03.273	 -0.065	 -0.125
       0:03.281	 -0.075	 -0.125
       0:03.289	 -0.065	 -0.135
       0:03.297	 -0.055	 -0.135
       0:03.305	 -0.085	 -0.125
       0:03.313	 -0.105	 -0.135
       0:03.320	 -0.095	 -0.135
       0:03.328	 -0.065	 -0.125
       0:03.336	 -0.085	 -0.105
       0:03.344	 -0.085	 -0.125
       0:03.352	 -0.075	 -0.125
       0:03.359	 -0.045	 -0.115
       0:03.367	 -0.075	 -0.105
       0:03.375	 -0.075	 -0.115
       0:03.383	 -0.015	 -0.115
       0:03.391	 -0.065	 -0.115
       0:03.398	 -0.085	 -0.105
       0:03.406	 -0.045	 -0.105
       0:03.414	 -0.035	 -0.115
       0:03.422	 -0.065	 -0.105
       0:03.430	 -0.045	 -0.105
       0:03.438	 -0.045	 -0.105
       0:03.445	 -0.035	 -0.115
       0:03.453	 -0.035	 -0.115
       0:03.461	 -0.055	 -0.115
       0:03.469	 -0.055	 -0.115
       0:03.477	 -0.045	 -0.125
       0:03.484	 -0.045	 -0.125
       0:03.492	 -0.035	 -0.115
       0:03.500	 -0.075	 -0.125
       0:03.508	 -0.055	 -0.135
       0:03.516	 -0.035	 -0.125
       0:03.523	 -0.065	 -0.115
       0:03.531	 -0.055	 -0.125
       0:03.539	 -0.065	 -0.125
       0:03.547	 -0.055	 -0.135
       0:03.555	 -0.045	 -0.125
       0:03.563	 -0.085	 -0.135
       0:03.570	 -0.045	 -0.135
       0:03.578	 -0.055	 -0.115
       0:03.586	 -0.055	 -0.115
       0:03.594	 -0.035	 -0.085
       0:03.602	 -0.015	 -0.085
       0:03.609	  0.015	 -0.085
       0:03.617	  0.005	 -0.085
       0:03.625	  0.035	 -0.095
       0:03.633	  0.025	 -0.105
       0:03.641	  0.025	 -0.105
       0:03.648	  0.005	 -0.105
       0:03.656	 -0.025	 -0.125
       0:03.664	  0.005	 -0.125
       0:03.672	 -0.005	 -0.135
       0:03.680	 -0.055	 -0.125
       0:03.688	 -0.105	 -0.135
       0:03.695	 -0.085	 -0.155
       0:03.703	 -0.075	 -0.145
       0:03.711	 -0.095	 -0.135
       0:03.719	 -0.085	 -0.145
       0:03.727	 -0.095	 -0.145
       0:03.734	 -0.085	 -0.135
       0:03.742	 -0.055	 -0.125
       0:03.750	 -0.045	 -0.125
       0:03.758	 -0.055	 -0.125
       0:03.766	 -0.045	 -0.115
       0:03.773	 -0.025	 -0.085
       0:03.781	  0.025	 -0.015
       0:03.789	  0.155	  0.215
       0:03.797	  0.685	  0.325
       0:03.805	  1.345	  0.205
       0:03.813	  1.075	 -0.225
       0:03.820	  0.055	 -0.775
       0:03.828	 -0.515	 -0.605
       0:03.836	 -0.245	 -0.095
       0:03.844	 -0.075	 -0.015
       0:03.852	 -0.085	 -0.055
       0:03.859	 -0.105	 -0.075
       0:03.867	 -0.105	 -0.065
       0:03.875	 -0.115	 -0.075
       0:03.883	 -0.115	 -0.075
       0:03.891	 -0.125	 -0.075
       0:03.898	 -0.125	 -0.065
       0:03.906	 -0.095	 -0.065
       0:03.914	 -0.115	 -0.065
       0:03.922	 -0.105	 -0.065
       0:03.930	 -0.085	 -0.045
       0:03.938	 -0.105	 -0.045
       0:03.945	 -0.125	 -0.055
       0:03.953	 -0.105	 -0.055
       0:03.961	 -0.115	 -0.035
       0:03.969	 -0.105	 -0.035
       0:03.977	 -0.115	 -0.035
       0:03.984	 -0.125	 -0.035
       0:03.992	 -0.085	 -0.025
       0:04.000	 -0.125	 -0.025
       0:04.008	 -0.155	 -0.035
       0:04.016	 -0.105	 -0.025
       0:04.023	 -0.135	 -0.015
       0:04.031	 -0.165	 -0.035
       0:04.039	 -0.145	 -0.055
       0:04.047	 -0.125	 -0.055
       0:04.055	 -0.135	 -0.055
       0:04.063	 -0.135	 -0.075
       0:04.070	 -0.125	 -0.085
       0:04.078	 -0.085	 -0.085
       0:04.086	 -0.075	 -0.065
       0:04.094	 -0.035	 -0.075
       0:04.102	 -0.035	 -0.085
       0:04.109	 -0.055	 -0.085
       0:04.117	 -0.055	 -0.085
       0:04.125	 -0.035	 -0.095
       0:04.133	 -0.065	 -0.115
       0:04.141	 -0.065	 -0.125
       0:04.148	 -0.065	 -0.105
       0:04.156	 -0.075	 -0.115
       0:04.164	 -0.065	 -0.115
       0:04.172	 -0.085	 -0.115
       0:04.180	 -0.065	 -0.105
       0:04.188	 -0.075	 -0.105
       0:04.195	 -0.075	 -0.115
       0:04.203	 -0.075	 -0.115
       0:04.211	 -0.065	 -0.095
       0:04.219	 -0.045	 -0.095
       0:04.227	 -0.055	 -0.095
       0:04.234	 -0.055	 -0.095
       0:04.242	 -0.045	 -0.085
       0:04.250	 -0.065	 -0.095
       0:04.258	 -0.035	 -0.095
       0:04.266	 -0.025	 -0.095
       0:04.273	 -0.045	 -0.085
       0:04.281	 -0.045	 -0.085
       0:04.289	 -0.025	 -0.105
       0:04.297	 -0.045	 -0.095
       0:04.305	 -0.025	 -0.095
       0:04.313	 -0.025	 -0.105
       0:04.320	 -0.025	 -0.105
       0:04.328	 -0.025	 -0.105
       0:04.336	 -0.035	 -0.085
       0:04.344	 -0.035	 -0.105
       0:04.352	 -0.035	 -0.115
       0:04.359	 -0.025	 -0.115
       0:04.367	 -0.035	 -0.095
       0:04.375	 -0.055	 -0.105
       0:04.383	 -0.025	 -0.115
       0:04.391	 -0.045	 -0.115
       0:04.398	 -0.035	 -0.095
       0:04.406	 -0.025	 -0.105
       0:04.414	 -0.045	 -0.115
       0:04.422	 -0.055	 -0.115
       0:04.430	 -0.025	 -0.105
       0:04.438	 -0.005	 -0.095
       0:04.445	 -0.025	 -0.105
       0:04.453	 -0.035	 -0.115
       0:04.461	 -0.045	 -0.095
       0:04.469	 -0.035	 -0.105
       0:04.477	 -0.035	 -0.105
       0:04.484	 -0.025	 -0.095
       0:04.492	 -0.025	 -0.075
       0:04.500	  0.005	 -0.055
       0:04.508	  0.015	 -0.065
       0:04.516	  0.025	 -0.065
       0:04.523	  0.015	 -0.055
       0:04.531	  0.025	 -0.075
       0:04.539	  0.055	 -0.085
       0:04.547	  0.035	 -0.085
       0:04.555	  0.025	 -0.085
       0:04.563	  0.005	 -0.105
       0:04.570	  0.015	 -0.105
       0:04.578	 -0.025	 -0.105
       0:04.586	 -0.055	 -0.115
       0:04.594	 -0.065	 -0.125
       0:04.602	 -0.075	 -0.135
       0:04.609	 -0.045	 -0.125
       0:04.617	 -0.065	 -0.115
       0:04.625	 -0.055	 -0.115
       0:04.633	 -0.045	 -0.115
       0:04.641	 -0.045	 -0.115
       0:04.648	 -0.045	 -0.105
       0:04.656	 -0.035	 -0.095
       0:04.664	 -0.025	 -0.105
       0:04.672	 -0.025	 -0.095
       0:04.680	  0.005	 -0.075
       0:04.688	  0.015	  0.015
       0:04.695	  0.135	  0.235
       0:04.703	  0.595	  0.325
       0:04.711	  1.165	  0.195
       0:04.719	  1.005	 -0.235
       0:04.727	  0.215	 -0.705
       0:04.734	 -0.415	 -0.665
       0:04.742	 -0.215	 -0.125
       0:04.750	 -0.075	  0.005
       0:04.758	 -0.085	 -0.045
       0:04.766	 -0.085	 -0.055
       0:04.773	 -0.095	 -0.055
       0:04.781	 -0.095	 -0.055
       0:04.789	 -0.115	 -0.065
       0:04.797	 -0.115	 -0.055
       0:04.805	 -0.085	 -0.045
       0:04.813	 -0.115	 -0.045
       0:04.820	 -0.135	 -0.055
       0:04.828	 -0.115	 -0.045
       0:04.836	 -0.115	 -0.035
       0:04.844	 -0.105	 -0.035
       0:04.852	 -0.125	 -0.035
       0:04.859	 -0.105	 -0.035
       0:04.867	 -0.105	 -0.025
       0:04.875	 -0.115	 -0.025
       0:04.883	 -0.115	 -0.025
       0:04.891	 -0.125	 -0.025
       0:04.898	 -0.095	 -0.015
       0:04.906	 -0.145	 -0.005
       0:04.914	 -0.145	 -0.015
       0:04.922	 -0.125	 -0.015
       0:04.930	 -0.125	 -0.005
       0:04.938	 -0.135	 -0.025
       0:04.945	 -0.145	 -0.035
       0:04.953	 -0.135	 -0.045
       0:04.961	 -0.145	 -0.045
       0:04.969	 -0.145	 -0.055
       0:04.977	 -0.135	 -0.075
       0:04.984	 -0.105	 -0.065
       0:04.992	 -0.055	 -0.055
       0:05.000	 -0.065	 -0.055
       0:05.008	 -0.045	 -0.075
       0:05.016	 -0.045	 -0.075
       0:05.023	 -0.065	 -0.055
       0:05.031	 -0.055	 -0.095
       0:05.039	 -0.085	 -0.105
       0:05.047	 -0.075	 -0.105
       0:05.055	 -0.065	 -0.095
       0:05.063	 -0.085	 -0.095
       0:05.070	 -0.095	 -0.105
       0:05.078	 -0.075	 -0.115
       0:05.086	 -0.075	 -0.095
       0:05.094	 -0.095	 -0.095
       0:05.102	 -0.105	 -0.105
       0:05.109	 -0.085	 -0.095
       0:05.117	 -0.085	 -0.095
       0:05.125	 -0.065	 -0.095
       0:05.133	 -0.075	 -0.095
       0:05.141	 -0.075	 -0.095
       0:05.148	 -0.075	 -0.085
       0:05.156	 -0.045	 -0.085
       0:05.164	 -0.035	 -0.085
       0:05.172	 -0.065	 -0.085
       0:05.180	 -0.035	 -0.075
       0:05.188	 -0.055	 -0.085
       0:05.195	 -0.045	 -0.085
       0:05.203	 -0.045	 -0.095
       0:05.211	 -0.055	 -0.075
       0:05.219	 -0.055	 -0.085
       0:05.227	 -0.045	 -0.095
       0:05.234	 -0.035	 -0.095
       0:05.242	 -0.035	 -0.085
       0:05.250	 -0.055	 -0.085
       0:05.258	 -0.045	 -0.105
       0:05.266	 -0.045	 -0.105
       0:05.273	 -0.045	 -0.085
       0:05.281	 -0.055	 -0.095
       0:05.289	 -0.045	 -0.095
       0:05.297	 -0.065	 -0.095
       0:05.305	 -0.055	 -0.085
       0:05.313	 -0.055	 -0.085
       0:05.320	 -0.045	 -0.095
       0:05.328	 -0.045	 -0.095
       0:05.336	 -0.045	 -0.085
       0:05.344	 -0.055	 -0.085
       0:05.352	 -0.055	 -0.095
       0:05.359	 -0.035	 -0.085
       0:05.367	 -0.025	 -0.075
       0:05.375	 -0.035	 -0.065
       0:05.383	 -0.005	 -0.055
       0:05.391	 -0.005	 -0.045
       0:05.398	 -0.005	 -0.045
       0:05.406	  0.035	 -0.055
       0:05.414	  0.025	 -0.065
       0:05.422	  0.035	 -0.065
       0:05.430	  0.045	 -0.065
       0:05.438	  0.015	 -0.075
       0:05.445	 -0.015	 -0.095
       0:05.453	 -0.015	 -0.085
       0:05.461	 -0.055	 -0.085
       0:05.469	 -0.065	 -0.105
       0:05.477	 -0.075	 -0.115
       0:05.484	 -0.075	 -0.105
       0:05.492	 -0.085	 -0.095
       0:05.500	 -0.085	 -0.105
       0:05.508	 -0.075	 -0.105
       0:05.516	 -0.085	 -0.105
       0:05.523	 -0.055	 -0.085
       0:05.531	 -0.065	 -0.085
       0:05.539	 -0.065	 -0.085
       0:05.547	 -0.025	 -0.075
       0:05.555	 -0.015	 -0.065
       0:05.563	 -0.005	 -0.055
       0:05.570	  0.055	  0.055
       0:05.578	  0.255	  0.285
       0:05.586	  0.905	  0.405
       0:05.594	  1.395	  0.235
       0:05.602	  0.985	 -0.165
       0:05.609	  0.035	 -0.665
       0:05.617	 -0.495	 -0.645
       0:05.625	 -0.215	 -0.125
       0:05.633	 -0.105	  0.005
       0:05.641	 -0.075	 -0.015
       0:05.648	 -0.095	 -0.035
       0:05.656	 -0.085	 -0.035
       0:05.664	 -0.135	 -0.045
       0:05.672	 -0.085	 -0.035
       0:05.680	 -0.075	 -0.025
       0:05.688	 -0.095	 -0.035
       0:05.695	 -0.085	 -0.035
       0:05.703	 -0.085	 -0.025
       0:05.711	 -0.085	 -0.015
       0:05.719	 -0.065	 -0.015
       0:05.727	 -0.095	 -0.015
       0:05.734	 -0.115	 -0.015
       0:05.742	 -0.095	 -0.005
       0:05.750	 -0.115	 -0.005
       0:05.758	 -0.075	 -0.005
       0:05.766	 -0.095	 -0.005
       0:05.773	 -0.085	  0.015
